Date,Time,Latitude,Longitude,Type,Depth,depthError,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
2021-02-07T04:22:56.667Z,13:44:18,6.7693,125.1011,Earthquake,16,1.7,,6,mww,,,,,7.1,1.39,us6000df9r,us,us,us,reviewed
2020-12-24T23:43:41.964Z,11:29:49,13.82,120.6539,Earthquake,109,1.8,,6.3,mww,,,,,5.8,0.75,us6000d2ra,us,us,us,reviewed
2020-11-15T22:37:43.690Z,18:05:58,8.7572,126.2914,Earthquake,43,1.9,,6,mww,,,,,6.2,0.99,us7000cfes,us,us,us,reviewed
2020-09-06T15:23:43.148Z,18:49:43,6.2693,125.8285,Earthquake,120,1.9,,6.3,mww,,,,,7.2,1.22,us7000biyd,us,us,us,reviewed
2020-08-18T00:03:48.566Z,13:32:50,12.0257,124.1272,Earthquake,10,1.6,,6.6,mww,,,,,7.1,0.73,us6000bgbr,us,us,us,reviewed
2020-08-01T17:09:01.952Z,13:36:32,7.2932,124.1331,Earthquake,483,1.9,,6.4,mww,,,,,7.4,1.04,us6000b80p,us,us,us,reviewed
2019-12-15T06:11:51.155Z,13:32:25,6.6969,125.1739,Earthquake,18,1.7,,6.8,mww,,,,,8,1.05,us60006rp9,us,us,us,reviewed
